iter	Passed	Remaining
0	1798	357839
1	3535	350035
2	3594	236017
3	5237	256649
4	6864	267703
5	8680	280675
6	10578	291667
7	12196	292707
8	13770	292235
9	15281	290354
10	16825	289098
11	18372	287840
12	19922	286582
13	21391	284206
14	22868	282043
15	24424	280883
16	25907	278888
17	27370	276746
18	28885	275175
19	30385	273469
20	31889	271816
21	33478	270870
22	35458	272875
23	37264	273275
24	39065	273458
25	40808	273104
26	42372	271496
27	43967	270086
28	45591	268833
29	47113	266978
30	48683	265401
31	50320	264181
32	51977	263039
33	53536	261381
34	55120	259851
35	56682	258222
36	58450	257499
37	60228	256764
38	61924	255636
39	63689	254759
40	65278	253154
41	66777	251212
42	68544	250268
43	70209	248925
44	71821	247386
45	73543	246209
46	75130	244572
47	76855	243374
48	78609	242246
49	80184	240554
50	81811	239018
51	83420	237428
52	84900	235479
53	86462	233769
54	88215	232569
55	89866	231086
56	91363	229209
57	92952	227572
58	94553	225966
59	96184	224431
60	97745	222732
61	99306	221036
62	100848	219305
63	102377	217552
64	103916	215826
65	105450	214095
66	106977	212357
67	108516	210650
68	110042	208921
69	111561	207185
70	113112	205514
71	114682	203880
72	116405	202514
73	118024	200959
74	119706	199511
75	121395	198065
76	122985	196457
77	124532	194782
78	126108	193153
79	127787	191681
80	129574	190362
81	131091	188643
82	132636	186968
83	134358	185543
84	136027	184037
85	137764	182618
86	139613	181336
87	141269	179797
88	142975	178317
89	144460	176562
90	145958	174828
91	147572	173237
92	149374	171860
93	151350	170671
94	152877	168970
95	154450	167320
96	156160	165819
97	157714	164151
98	159340	162559
99	160864	160864
100	162514	159295
101	164095	157660
102	165681	156029
103	167258	154392
104	168790	152715
105	170354	151069
106	172068	149554
107	173621	147899
108	175425	146456
109	176990	144810
110	178529	143145
111	180218	141600
112	181851	140009
113	183442	138386
114	185013	136749
115	186935	135367
116	188646	133826
117	190273	132224
118	191904	130623
119	193600	129066
120	195342	127537
121	197409	126212
122	199344	124792
123	201219	123328
124	203093	121856
125	205089	120449
126	206904	118929
127	208989	117556
128	211067	116169
129	212847	114610
130	214649	113059
131	216304	111429
132	217985	109812
133	219753	108236
134	221317	106560
135	222823	104857
136	224330	103159
137	225828	101459
138	227315	99756
139	228818	98064
140	230322	96376
141	231841	94695
142	233354	93015
143	234862	91335
144	236360	89653
145	237840	87968
146	239342	86293
147	240834	84617
148	242353	82953
149	243848	81282
150	245351	79617
151	246929	77977
152	248444	76319
153	249934	74655
154	251447	73001
155	252962	71348
156	254465	69694
157	255961	68040
158	257477	66393
159	258977	64744
160	260484	63098
161	261989	61454
162	263520	59817
163	265082	58188
164	266564	56544
165	268050	54901
166	269548	53264
167	271062	51630
168	272545	49993
169	274046	48361
170	275560	46732
171	277051	45101
172	278556	43474
173	280075	41850
174	281559	40222
175	283059	38599
176	284579	36979
177	286071	35357
178	287564	33736
179	289073	32119
180	290575	30502
181	292071	28886
182	293574	27271
183	295065	25657
184	296551	24044
185	298046	22433
186	299540	20823
187	301033	19214
188	302553	17608
189	304080	16004
190	305580	14399
191	307151	12797
192	308718	11197
193	310264	9595
194	311928	7998
195	313434	6396
196	314942	4796
197	316441	3196
198	317925	1597
199	319418	0
